Name,Address,Coords,Latitude,Longitude,Undex,Cuisine
The Winery,285A Crown Street,"-33.881514,151.214554",-33.881514,151.214554,1,"Wine Bar, Modern Australian, Desserts/Ice Cream"
Kantine,185 Campbell St,"-33.881194,151.215777",-33.881194,151.215777,2,Modern Australian
The Devonshire,204 Devonshire St,"-33.88766,151.211336",-33.88766,51.211336,3,"European, French, Modern Australia"
Ume,478 Bourke St,"-33.887037,151.215456",-33.887037,151.215456,4,Japanese
Bills,359 Crown Street,"-33.883955,151.214168",-33.883955,151.214168,5,"Modern Australian, Breakfast/Brunch, Coffee"
Vini,3/118 Devonshire St,"-33.886769,151.209147",-33.886769,151.209147,6,Italian
Longrain,85 Commonwealth St,"-33.87943,151.210756",-33.87943,51.210756,7,"Thai, Asian, Wine Bar"
Pazzo,583 Crown St,"-33.891133,151.212752",-33.891133,151.212752,8,Italian
Red Lantern,545 Crown St,"-33.890243,151.212795",-33.890243,151.212795,9,Modern Australian
Bodega,216 Commonwealth,"-33.883438,151.210134",-33.883438,151.210134,10,"European, French, Modern Australia"
Marque,5/355 Crown St,"-33.883812,151.214232",-33.883812,151.214232,11,Japanese
Bentley,320 Crown St,"-33.880998,151.215069",-33.880998,151.215069,12,Modern Australian
Cochin,61 Fitzroy St,"-33.885451,151.216121",-33.885451,151.216121,13,Italian
4Fourteen,414 Bourke,"-33.885077,151.216013",-33.885077,151.216013,14,"Thai, Asian, Wine Bar"
Carrington Hotel,563 Bourke,"-33.88766,151.215305",-33.88766,51.215305,15,Modern Australian
Wasabi Bistro,8/423 Bourke,"-33.882761,151.216142",-33.882761,151.216142,16,Japanese
The Louvre Room,122 Flinders Street,"-33.88465,151.218181",-33.88465,51.218181,17,Italian
East Village Hotel,234 Palmer Street,"-33.877595,151.216679",-33.877595,151.216679,18,"Thai, Asian, Wine Bar"
Jazz City Diner,238 Crown Street,"-33.878165,151.215734",-33.878165,151.215734,19,Modern Australian
Sushi Train,22/63 Oxford Street,"-33.878539,151.214039",-33.878539,151.214039,20,Japanese
